logg,Teff,Z,xi,aLSM,bLSM
3.5,3500,-2.5,2.0,0.0576,0.512
4.0,3500,-2.5,2.0,0.0722,0.5073
3.5,3750,-2.5,2.0,0.0705,0.4691
4.0,3750,-2.5,2.0,0.0531,0.4803
4.5,3750,-2.5,2.0,0.0531,0.4873
3.5,4000,-2.5,2.0,0.158,0.3924
4.0,4000,-2.5,2.0,0.1081,0.407
4.5,4000,-2.5,2.0,0.0788,0.418
3.5,4250,-2.5,2.0,0.2142,0.3681
4.0,4250,-2.5,2.0,0.1409,0.4079
4.5,4250,-2.5,2.0,0.0962,0.4238
5.0,4250,-2.5,2.0,0.0757,0.4259
3.5,4500,-2.5,2.0,0.2318,0.3488
4.0,4500,-2.5,2.0,0.1755,0.3797
4.5,4500,-2.5,2.0,0.1211,0.4073
5.0,4500,-2.5,2.0,0.0869,0.411
3.5,4750,-2.5,2.0,0.2116,0.3495
4.0,4750,-2.5,2.0,0.1906,0.3661
4.5,4750,-2.5,2.0,0.1482,0.379
5.0,4750,-2.5,2.0,0.103,0.4015
3.5,5000,-2.5,2.0,0.2089,0.3343
4.0,5000,-2.5,2.0,0.1919,0.3434
4.5,5000,-2.5,2.0,0.1604,0.3679
5.0,5000,-2.5,2.0,0.1178,0.3943
3.5,5250,-2.5,2.0,0.2181,0.3194
4.0,5250,-2.5,2.0,0.2006,0.3307
4.5,5250,-2.5,2.0,0.181,0.3395
5.0,5250,-2.5,2.0,0.1462,0.3644
3.5,5500,-2.5,2.0,0.2245,0.3086
4.0,5500,-2.5,2.0,0.2137,0.3137
4.5,5500,-2.5,2.0,0.1917,0.3296
5.0,5500,-2.5,2.0,0.1701,0.3399
3.5,5750,-2.5,2.0,0.2309,0.2962
4.0,5750,-2.5,2.0,0.2231,0.3015
4.5,5750,-2.5,2.0,0.2028,0.3163
5.0,5750,-2.5,2.0,0.1818,0.3296
3.5,6000,-2.5,2.0,0.2279,0.2931
4.0,6000,-2.5,2.0,0.2221,0.2973
4.5,6000,-2.5,2.0,0.2109,0.3053
5.0,6000,-2.5,2.0,0.1951,0.3141
3.5,6250,-2.5,2.0,0.2285,0.2846
4.0,6250,-2.5,2.0,0.2247,0.2872
4.5,6250,-2.5,2.0,0.2156,0.2953
5.0,6250,-2.5,2.0,0.2011,0.3056
3.5,6500,-2.5,2.0,0.2211,0.2844
4.0,6500,-2.5,2.0,0.2203,0.2845
4.5,6500,-2.5,2.0,0.2166,0.2885
5.0,6500,-2.5,2.0,0.2075,0.2946
3.5,6750,-2.5,2.0,0.208,0.2904
4.0,6750,-2.5,2.0,0.2104,0.2879
4.5,6750,-2.5,2.0,0.213,0.2855
5.0,6750,-2.5,2.0,0.2078,0.2887
3.5,7000,-2.5,2.0,0.1946,0.2956
4.0,7000,-2.5,2.0,0.1992,0.2914
4.5,7000,-2.5,2.0,0.2052,0.2861
5.0,7000,-2.5,2.0,0.2038,0.2866
3.5,7250,-2.5,2.0,0.1762,0.3019
4.0,7250,-2.5,2.0,0.1864,0.2961
4.5,7250,-2.5,2.0,0.1938,0.29
5.0,7250,-2.5,2.0,0.1963,0.2875
3.5,7500,-2.5,2.0,0.1891,0.2851
4.0,7500,-2.5,2.0,0.1751,0.2994
4.5,7500,-2.5,2.0,0.1806,0.2951
5.0,7500,-2.5,2.0,0.185,0.2915
3.5,7750,-2.5,2.0,0.2173,0.257
4.0,7750,-2.5,2.0,0.1657,0.299
4.5,7750,-2.5,2.0,0.1699,0.2982
5.0,7750,-2.5,2.0,0.1734,0.2955
3.5,8000,-2.5,2.0,0.2353,0.2371
4.0,8000,-2.5,2.0,0.1897,0.2743
4.5,8000,-2.5,2.0,0.1495,0.3065
5.0,8000,-2.5,2.0,0.1594,0.3012
3.5,8250,-2.5,2.0,0.2272,0.2335
4.0,8250,-2.5,2.0,0.2145,0.2475
4.5,8250,-2.5,2.0,0.1654,0.2895
5.0,8250,-2.5,2.0,0.141,0.3082
3.5,8500,-2.5,2.0,0.2077,0.2426
4.0,8500,-2.5,2.0,0.2161,0.2342
4.5,8500,-2.5,2.0,0.191,0.2611
5.0,8500,-2.5,2.0,0.1467,0.2986
3.5,8750,-2.5,2.0,0.1917,0.2483
4.0,8750,-2.5,2.0,0.199,0.2399
4.5,8750,-2.5,2.0,0.2032,0.2385
5.0,8750,-2.5,2.0,0.1624,0.2789
3.5,9000,-2.5,2.0,0.1789,0.2507
4.0,9000,-2.5,2.0,0.185,0.2436
4.5,9000,-2.5,2.0,0.1914,0.2369
5.0,9000,-2.5,2.0,0.1983,0.2298
3.5,9250,-2.5,2.0,0.1697,0.2508
4.0,9250,-2.5,2.0,0.1735,0.2457
4.5,9250,-2.5,2.0,0.1783,0.2409
5.0,9250,-2.5,2.0,0.184,0.2349
3.5,9500,-2.5,2.0,0.1627,0.2502
4.0,9500,-2.5,2.0,0.1653,0.2453
4.5,9500,-2.5,2.0,0.1685,0.2419
5.0,9500,-2.5,2.0,0.1721,0.2381
3.5,9750,-2.5,2.0,0.1572,0.2492
4.0,9750,-2.5,2.0,0.159,0.2443
4.5,9750,-2.5,2.0,0.1603,0.242
5.0,9750,-2.5,2.0,0.1627,0.2395
3.5,10000,-2.5,2.0,0.1523,0.2484
4.0,10000,-2.5,2.0,0.1538,0.2433
4.5,10000,-2.5,2.0,0.1546,0.2409
5.0,10000,-2.5,2.0,0.1556,0.2394
3.5,3500,-2.0,2.0,0.0865,0.4342
4.0,3500,-2.0,2.0,0.1069,0.4065
4.5,3500,-2.0,2.0,0.0874,0.4939
5.0,3500,-2.0,2.0,0.1219,0.4598
3.5,3750,-2.0,2.0,0.1295,0.3739
4.0,3750,-2.0,2.0,0.0965,0.401
4.5,3750,-2.0,2.0,0.0787,0.4109
5.0,3750,-2.0,2.0,0.0926,0.3858
3.5,4000,-2.0,2.0,0.2348,0.3429
4.0,4000,-2.0,2.0,0.1438,0.3927
4.5,4000,-2.0,2.0,0.1127,0.3687
5.0,4000,-2.0,2.0,0.0741,0.4319
3.5,4250,-2.0,2.0,0.3345,0.2835
4.0,4250,-2.0,2.0,0.2408,0.3411
4.5,4250,-2.0,2.0,0.1573,0.3888
5.0,4250,-2.0,2.0,0.106,0.4117
3.5,4500,-2.0,2.0,0.3231,0.2905
4.0,4500,-2.0,2.0,0.2847,0.3123
4.5,4500,-2.0,2.0,0.2159,0.3617
5.0,4500,-2.0,2.0,0.1566,0.3818
3.5,4750,-2.0,2.0,0.2691,0.3181
4.0,4750,-2.0,2.0,0.2557,0.3312
4.5,4750,-2.0,2.0,0.2236,0.349
5.0,4750,-2.0,2.0,0.1777,0.3757
3.5,5000,-2.0,2.0,0.2406,0.3176
4.0,5000,-2.0,2.0,0.228,0.3291
4.5,5000,-2.0,2.0,0.2083,0.3398
5.0,5000,-2.0,2.0,0.1785,0.3551
3.5,5250,-2.0,2.0,0.2318,0.3097
4.0,5250,-2.0,2.0,0.2197,0.3187
4.5,5250,-2.0,2.0,0.2121,0.3256
5.0,5250,-2.0,2.0,0.1793,0.3452
3.5,5500,-2.0,2.0,0.2285,0.3054
4.0,5500,-2.0,2.0,0.2177,0.3128
4.5,5500,-2.0,2.0,0.2022,0.3225
5.0,5500,-2.0,2.0,0.1815,0.3353
3.5,5750,-2.0,2.0,0.2279,0.2993
4.0,5750,-2.0,2.0,0.2261,0.2985
4.5,5750,-2.0,2.0,0.2079,0.3122
5.0,5750,-2.0,2.0,0.1898,0.3234
3.5,6000,-2.0,2.0,0.233,0.2873
4.0,6000,-2.0,2.0,0.2236,0.2954
4.5,6000,-2.0,2.0,0.2178,0.2976
5.0,6000,-2.0,2.0,0.197,0.3131
3.5,6250,-2.0,2.0,0.2267,0.2874
4.0,6250,-2.0,2.0,0.223,0.2897
4.5,6250,-2.0,2.0,0.2176,0.2931
5.0,6250,-2.0,2.0,0.2036,0.3026
3.5,6500,-2.0,2.0,0.2202,0.2855
4.0,6500,-2.0,2.0,0.2206,0.2842
4.5,6500,-2.0,2.0,0.2172,0.2875
5.0,6500,-2.0,2.0,0.2083,0.2934
3.5,6750,-2.0,2.0,0.2076,0.2902
4.0,6750,-2.0,2.0,0.2115,0.2862
4.5,6750,-2.0,2.0,0.2132,0.2838
5.0,6750,-2.0,2.0,0.2073,0.2888
3.5,7000,-2.0,2.0,0.193,0.2975
4.0,7000,-2.0,2.0,0.1973,0.2933
4.5,7000,-2.0,2.0,0.204,0.2872
5.0,7000,-2.0,2.0,0.2032,0.2868
3.5,7250,-2.0,2.0,0.1731,0.3063
4.0,7250,-2.0,2.0,0.1817,0.3009
4.5,7250,-2.0,2.0,0.1894,0.2944
5.0,7250,-2.0,2.0,0.1928,0.2909
3.5,7500,-2.0,2.0,0.1837,0.29
4.0,7500,-2.0,2.0,0.1693,0.3046
4.5,7500,-2.0,2.0,0.1764,0.2993
5.0,7500,-2.0,2.0,0.1812,0.2951
3.5,7750,-2.0,2.0,0.2133,0.2609
4.0,7750,-2.0,2.0,0.1611,0.3034
4.5,7750,-2.0,2.0,0.1658,0.3016
5.0,7750,-2.0,2.0,0.1701,0.2979
3.5,8000,-2.0,2.0,0.2295,0.2429
4.0,8000,-2.0,2.0,0.1847,0.2783
4.5,8000,-2.0,2.0,0.1486,0.3067
5.0,8000,-2.0,2.0,0.1568,0.3029
3.5,8250,-2.0,2.0,0.2227,0.2382
4.0,8250,-2.0,2.0,0.2097,0.2519
4.5,8250,-2.0,2.0,0.1598,0.2936
5.0,8250,-2.0,2.0,0.1386,0.309
3.5,8500,-2.0,2.0,0.2039,0.2467
4.0,8500,-2.0,2.0,0.2118,0.2384
4.5,8500,-2.0,2.0,0.1858,0.265
5.0,8500,-2.0,2.0,0.1438,0.3012
3.5,8750,-2.0,2.0,0.1885,0.2521
4.0,8750,-2.0,2.0,0.1956,0.2434
4.5,8750,-2.0,2.0,0.1985,0.2426
5.0,8750,-2.0,2.0,0.1618,0.2796
3.5,9000,-2.0,2.0,0.1789,0.2515
4.0,9000,-2.0,2.0,0.1843,0.2447
4.5,9000,-2.0,2.0,0.1909,0.2374
5.0,9000,-2.0,2.0,0.1972,0.2306
3.5,9250,-2.0,2.0,0.1699,0.251
4.0,9250,-2.0,2.0,0.1734,0.2461
4.5,9250,-2.0,2.0,0.1784,0.2409
5.0,9250,-2.0,2.0,0.1837,0.235
3.5,9500,-2.0,2.0,0.1632,0.2497
4.0,9500,-2.0,2.0,0.1657,0.245
4.5,9500,-2.0,2.0,0.1683,0.2421
5.0,9500,-2.0,2.0,0.1724,0.2377
3.5,9750,-2.0,2.0,0.1575,0.2488
4.0,9750,-2.0,2.0,0.1591,0.2438
4.5,9750,-2.0,2.0,0.1605,0.2416
5.0,9750,-2.0,2.0,0.1629,0.2392
3.5,10000,-2.0,2.0,0.1528,0.2478
4.0,10000,-2.0,2.0,0.1542,0.2425
4.5,10000,-2.0,2.0,0.1545,0.2405
5.0,10000,-2.0,2.0,0.1551,0.2395
3.5,3500,-1.5,2.0,0.0851,0.4958
4.0,3500,-1.5,2.0,0.0815,0.4915
4.5,3500,-1.5,2.0,0.0897,0.4895
5.0,3500,-1.5,2.0,0.1098,0.4748
3.5,3750,-1.5,2.0,0.1448,0.422
4.0,3750,-1.5,2.0,0.0982,0.4384
4.5,3750,-1.5,2.0,0.0618,0.4982
5.0,3750,-1.5,2.0,0.0646,0.497
3.5,4000,-1.5,2.0,0.3305,0.2793
4.0,4000,-1.5,2.0,0.1985,0.3641
4.5,4000,-1.5,2.0,0.1187,0.4157
5.0,4000,-1.5,2.0,0.0851,0.4341
3.5,4250,-1.5,2.0,0.447,0.1955
4.0,4250,-1.5,2.0,0.3525,0.2609
4.5,4250,-1.5,2.0,0.2323,0.3418
5.0,4250,-1.5,2.0,0.1444,0.3937
3.5,4500,-1.5,2.0,0.4074,0.2223
4.0,4500,-1.5,2.0,0.3896,0.2369
4.5,4500,-1.5,2.0,0.3296,0.2804
5.0,4500,-1.5,2.0,0.2411,0.3311
3.5,4750,-1.5,2.0,0.3471,0.2607
4.0,4750,-1.5,2.0,0.3407,0.2677
4.5,4750,-1.5,2.0,0.3261,0.2819
5.0,4750,-1.5,2.0,0.2826,0.3089
3.5,5000,-1.5,2.0,0.2883,0.292
4.0,5000,-1.5,2.0,0.2933,0.2904
4.5,5000,-1.5,2.0,0.2779,0.305
5.0,5000,-1.5,2.0,0.2631,0.3193
3.5,5250,-1.5,2.0,0.2557,0.3
4.0,5250,-1.5,2.0,0.2535,0.3033
4.5,5250,-1.5,2.0,0.2511,0.3077
5.0,5250,-1.5,2.0,0.2284,0.3272
3.5,5500,-1.5,2.0,0.2394,0.2997
4.0,5500,-1.5,2.0,0.2345,0.3035
4.5,5500,-1.5,2.0,0.2241,0.3121
5.0,5500,-1.5,2.0,0.2206,0.3154
3.5,5750,-1.5,2.0,0.2335,0.2956
4.0,5750,-1.5,2.0,0.2287,0.2988
4.5,5750,-1.5,2.0,0.219,0.3053
5.0,5750,-1.5,2.0,0.2044,0.3158
3.5,6000,-1.5,2.0,0.2336,0.2874
4.0,6000,-1.5,2.0,0.2256,0.2944
4.5,6000,-1.5,2.0,0.2178,0.2991
5.0,6000,-1.5,2.0,0.2047,0.3075
3.5,6250,-1.5,2.0,0.2254,0.2895
4.0,6250,-1.5,2.0,0.2218,0.2911
4.5,6250,-1.5,2.0,0.2195,0.2918
5.0,6250,-1.5,2.0,0.2073,0.2997
3.5,6500,-1.5,2.0,0.2161,0.2913
4.0,6500,-1.5,2.0,0.2163,0.2899
4.5,6500,-1.5,2.0,0.2164,0.2887
5.0,6500,-1.5,2.0,0.2089,0.2931
3.5,6750,-1.5,2.0,0.2034,0.296
4.0,6750,-1.5,2.0,0.2065,0.2924
4.5,6750,-1.5,2.0,0.2095,0.289
5.0,6750,-1.5,2.0,0.2084,0.2871
3.5,7000,-1.5,2.0,0.191,0.2997
4.0,7000,-1.5,2.0,0.1968,0.2941
4.5,7000,-1.5,2.0,0.2015,0.2893
5.0,7000,-1.5,2.0,0.2021,0.2872
3.5,7250,-1.5,2.0,0.1663,0.3105
4.0,7250,-1.5,2.0,0.1802,0.3025
4.5,7250,-1.5,2.0,0.187,0.2963
5.0,7250,-1.5,2.0,0.1908,0.292
3.5,7500,-1.5,2.0,0.1842,0.2896
4.0,7500,-1.5,2.0,0.164,0.3066
4.5,7500,-1.5,2.0,0.1738,0.3014
5.0,7500,-1.5,2.0,0.1796,0.2961
3.5,7750,-1.5,2.0,0.2118,0.2643
4.0,7750,-1.5,2.0,0.1574,0.3052
4.5,7750,-1.5,2.0,0.1625,0.3049
5.0,7750,-1.5,2.0,0.167,0.3008
3.5,8000,-1.5,2.0,0.2273,0.2459
4.0,8000,-1.5,2.0,0.1843,0.2795
4.5,8000,-1.5,2.0,0.1494,0.3091
5.0,8000,-1.5,2.0,0.1541,0.3055
3.5,8250,-1.5,2.0,0.22,0.2412
4.0,8250,-1.5,2.0,0.2084,0.2537
4.5,8250,-1.5,2.0,0.1609,0.2931
5.0,8250,-1.5,2.0,0.1407,0.309
3.5,8500,-1.5,2.0,0.2025,0.2484
4.0,8500,-1.5,2.0,0.2093,0.2407
4.5,8500,-1.5,2.0,0.1848,0.266
5.0,8500,-1.5,2.0,0.1408,0.3033
3.5,8750,-1.5,2.0,0.1868,0.2545
4.0,8750,-1.5,2.0,0.1936,0.2456
4.5,8750,-1.5,2.0,0.1967,0.244
5.0,8750,-1.5,2.0,0.1615,0.2796
3.5,9000,-1.5,2.0,0.1775,0.2544
4.0,9000,-1.5,2.0,0.1832,0.2464
4.5,9000,-1.5,2.0,0.189,0.2394
5.0,9000,-1.5,2.0,0.1953,0.2322
3.5,9250,-1.5,2.0,0.1684,0.2542
4.0,9250,-1.5,2.0,0.172,0.2486
4.5,9250,-1.5,2.0,0.1765,0.2431
5.0,9250,-1.5,2.0,0.1814,0.237
3.5,9500,-1.5,2.0,0.162,0.2522
4.0,9500,-1.5,2.0,0.1642,0.2475
4.5,9500,-1.5,2.0,0.1668,0.2442
5.0,9500,-1.5,2.0,0.1704,0.2397
3.5,9750,-1.5,2.0,0.1569,0.2499
4.0,9750,-1.5,2.0,0.1582,0.2453
4.5,9750,-1.5,2.0,0.1592,0.2433
5.0,9750,-1.5,2.0,0.1608,0.2413
3.5,10000,-1.5,2.0,0.1521,0.2487
4.0,10000,-1.5,2.0,0.1532,0.2434
4.5,10000,-1.5,2.0,0.1536,0.2414
5.0,10000,-1.5,2.0,0.154,0.2406
3.5,3500,-1.0,2.0,0.1532,0.4701
4.0,3500,-1.0,2.0,0.1214,0.4896
4.5,3500,-1.0,2.0,0.1121,0.4923
5.0,3500,-1.0,2.0,0.1148,0.4953
3.5,3750,-1.0,2.0,0.2266,0.3872
4.0,3750,-1.0,2.0,0.1319,0.4529
4.5,3750,-1.0,2.0,0.0917,0.4772
5.0,3750,-1.0,2.0,0.0804,0.4846
3.5,4000,-1.0,2.0,0.4423,0.2019
4.0,4000,-1.0,2.0,0.2743,0.3295
4.5,4000,-1.0,2.0,0.1573,0.4117
5.0,4000,-1.0,2.0,0.1025,0.44
3.5,4250,-1.0,2.0,0.5035,0.1522
4.0,4250,-1.0,2.0,0.4484,0.1922
4.5,4250,-1.0,2.0,0.3188,0.2826
5.0,4250,-1.0,2.0,0.1952,0.3694
3.5,4500,-1.0,2.0,0.4562,0.1826
4.0,4500,-1.0,2.0,0.4491,0.1893
4.5,4500,-1.0,2.0,0.4367,0.2017
5.0,4500,-1.0,2.0,0.3284,0.2751
3.5,4750,-1.0,2.0,0.4014,0.2193
4.0,4750,-1.0,2.0,0.4037,0.2175
4.5,4750,-1.0,2.0,0.4001,0.2217
5.0,4750,-1.0,2.0,0.381,0.239
3.5,5000,-1.0,2.0,0.3452,0.254
4.0,5000,-1.0,2.0,0.3492,0.2517
4.5,5000,-1.0,2.0,0.3522,0.2505
5.0,5000,-1.0,2.0,0.3449,0.2578
3.5,5250,-1.0,2.0,0.2964,0.2792
4.0,5250,-1.0,2.0,0.3006,0.2774
4.5,5250,-1.0,2.0,0.3007,0.2793
5.0,5250,-1.0,2.0,0.301,0.2812
3.5,5500,-1.0,2.0,0.2627,0.2915
4.0,5500,-1.0,2.0,0.2607,0.2943
4.5,5500,-1.0,2.0,0.2559,0.3005
5.0,5500,-1.0,2.0,0.2522,0.3054
3.5,5750,-1.0,2.0,0.245,0.2928
4.0,5750,-1.0,2.0,0.2429,0.2948
4.5,5750,-1.0,2.0,0.2369,0.3
5.0,5750,-1.0,2.0,0.2359,0.3033
3.5,6000,-1.0,2.0,0.2343,0.2923
4.0,6000,-1.0,2.0,0.2311,0.2944
4.5,6000,-1.0,2.0,0.2267,0.2971
5.0,6000,-1.0,2.0,0.2173,0.304
3.5,6250,-1.0,2.0,0.2243,0.2939
4.0,6250,-1.0,2.0,0.2228,0.2938
4.5,6250,-1.0,2.0,0.2205,0.2942
5.0,6250,-1.0,2.0,0.2131,0.2992
3.5,6500,-1.0,2.0,0.2127,0.2972
4.0,6500,-1.0,2.0,0.214,0.2948
4.5,6500,-1.0,2.0,0.2132,0.2939
5.0,6500,-1.0,2.0,0.2077,0.2968
3.5,6750,-1.0,2.0,0.199,0.3024
4.0,6750,-1.0,2.0,0.2025,0.2983
4.5,6750,-1.0,2.0,0.2048,0.2952
5.0,6750,-1.0,2.0,0.2031,0.2948
3.5,7000,-1.0,2.0,0.1842,0.309
4.0,7000,-1.0,2.0,0.1895,0.3033
4.5,7000,-1.0,2.0,0.1947,0.2979
5.0,7000,-1.0,2.0,0.1965,0.2947
3.5,7250,-1.0,2.0,0.1766,0.31
4.0,7250,-1.0,2.0,0.1755,0.3088
4.5,7250,-1.0,2.0,0.1824,0.3021
5.0,7250,-1.0,2.0,0.1868,0.2973
3.5,7500,-1.0,2.0,0.2845,0.2138
4.0,7500,-1.0,2.0,0.1666,0.3108
4.5,7500,-1.0,2.0,0.1696,0.3069
5.0,7500,-1.0,2.0,0.1743,0.302
3.5,7750,-1.0,2.0,0.263,0.226
4.0,7750,-1.0,2.0,0.2692,0.2184
4.5,7750,-1.0,2.0,0.1633,0.3072
5.0,7750,-1.0,2.0,0.1636,0.3052
3.5,8000,-1.0,2.0,0.2386,0.2372
4.0,8000,-1.0,2.0,0.2486,0.2297
4.5,8000,-1.0,2.0,0.2536,0.2242
5.0,8000,-1.0,2.0,0.1513,0.309
3.5,8250,-1.0,2.0,0.2168,0.245
4.0,8250,-1.0,2.0,0.2273,0.237
4.5,8250,-1.0,2.0,0.2349,0.2332
5.0,8250,-1.0,2.0,0.2371,0.231
3.5,8500,-1.0,2.0,0.2012,0.2497
4.0,8500,-1.0,2.0,0.2069,0.2426
4.5,8500,-1.0,2.0,0.2169,0.238
5.0,8500,-1.0,2.0,0.2222,0.2358
3.5,8750,-1.0,2.0,0.1889,0.2524
4.0,8750,-1.0,2.0,0.1931,0.2455
4.5,8750,-1.0,2.0,0.1994,0.24
5.0,8750,-1.0,2.0,0.2067,0.2395
3.5,9000,-1.0,2.0,0.1767,0.2558
4.0,9000,-1.0,2.0,0.1811,0.2483
4.5,9000,-1.0,2.0,0.1857,0.2419
5.0,9000,-1.0,2.0,0.1906,0.2361
3.5,9250,-1.0,2.0,0.1679,0.2568
4.0,9250,-1.0,2.0,0.1706,0.2508
4.5,9250,-1.0,2.0,0.1738,0.2455
5.0,9250,-1.0,2.0,0.1781,0.2395
3.5,9500,-1.0,2.0,0.1612,0.256
4.0,9500,-1.0,2.0,0.1633,0.2503
4.5,9500,-1.0,2.0,0.1653,0.2462
5.0,9500,-1.0,2.0,0.1683,0.2413
3.5,9750,-1.0,2.0,0.1562,0.2537
4.0,9750,-1.0,2.0,0.1569,0.249
4.5,9750,-1.0,2.0,0.1578,0.2461
5.0,9750,-1.0,2.0,0.1592,0.243
3.5,10000,-1.0,2.0,0.1512,0.252
4.0,10000,-1.0,2.0,0.1519,0.2469
4.5,10000,-1.0,2.0,0.1521,0.2445
5.0,10000,-1.0,2.0,0.1521,0.2431
3.5,3500,-0.5,2.0,0.2976,0.3463
4.0,3500,-0.5,2.0,0.22,0.4048
4.5,3500,-0.5,2.0,0.1895,0.424
5.0,3500,-0.5,2.0,0.1652,0.4447
3.5,3750,-0.5,2.0,0.405,0.2515
4.0,3750,-0.5,2.0,0.245,0.3787
4.5,3750,-0.5,2.0,0.1613,0.4353
5.0,3750,-0.5,2.0,0.125,0.4564
3.5,4000,-0.5,2.0,0.5493,0.1317
4.0,4000,-0.5,2.0,0.4047,0.2419
4.5,4000,-0.5,2.0,0.2454,0.3624
5.0,4000,-0.5,2.0,0.1527,0.4178
3.5,4250,-0.5,2.0,0.5345,0.1351
4.0,4250,-0.5,2.0,0.5203,0.1458
4.5,4250,-0.5,2.0,0.4177,0.2203
5.0,4250,-0.5,2.0,0.2715,0.3294
3.5,4500,-0.5,2.0,0.4915,0.1611
4.0,4500,-0.5,2.0,0.4928,0.1589
4.5,4500,-0.5,2.0,0.4853,0.1652
5.0,4500,-0.5,2.0,0.4143,0.219
3.5,4750,-0.5,2.0,0.443,0.1932
4.0,4750,-0.5,2.0,0.4479,0.1882
4.5,4750,-0.5,2.0,0.4476,0.1886
5.0,4750,-0.5,2.0,0.4412,0.1943
3.5,5000,-0.5,2.0,0.39,0.227
4.0,5000,-0.5,2.0,0.3957,0.2225
4.5,5000,-0.5,2.0,0.3975,0.222
5.0,5000,-0.5,2.0,0.3983,0.2222
3.5,5250,-0.5,2.0,0.3401,0.2555
4.0,5250,-0.5,2.0,0.3468,0.2509
4.5,5250,-0.5,2.0,0.3492,0.2508
5.0,5250,-0.5,2.0,0.3489,0.2531
3.5,5500,-0.5,2.0,0.2968,0.2774
4.0,5500,-0.5,2.0,0.3031,0.2735
4.5,5500,-0.5,2.0,0.3055,0.2736
5.0,5500,-0.5,2.0,0.305,0.2764
3.5,5750,-0.5,2.0,0.264,0.2903
4.0,5750,-0.5,2.0,0.2691,0.2875
4.5,5750,-0.5,2.0,0.2715,0.287
5.0,5750,-0.5,2.0,0.2709,0.2897
3.5,6000,-0.5,2.0,0.2405,0.2968
4.0,6000,-0.5,2.0,0.2447,0.2942
4.5,6000,-0.5,2.0,0.2451,0.2947
5.0,6000,-0.5,2.0,0.2435,0.2978
3.5,6250,-0.5,2.0,0.2225,0.3024
4.0,6250,-0.5,2.0,0.2271,0.298
4.5,6250,-0.5,2.0,0.2272,0.2975
5.0,6250,-0.5,2.0,0.2257,0.2992
3.5,6500,-0.5,2.0,0.2082,0.3056
4.0,6500,-0.5,2.0,0.2136,0.3003
4.5,6500,-0.5,2.0,0.2128,0.3009
5.0,6500,-0.5,2.0,0.2127,0.3003
3.5,6750,-0.5,2.0,0.1929,0.312
4.0,6750,-0.5,2.0,0.1995,0.3057
4.5,6750,-0.5,2.0,0.2019,0.3024
5.0,6750,-0.5,2.0,0.2033,0.2998
3.5,7000,-0.5,2.0,0.1786,0.3178
4.0,7000,-0.5,2.0,0.1852,0.3113
4.5,7000,-0.5,2.0,0.1895,0.3062
5.0,7000,-0.5,2.0,0.1931,0.302
3.5,7250,-0.5,2.0,0.162,0.3254
4.0,7250,-0.5,2.0,0.166,0.3219
4.5,7250,-0.5,2.0,0.1715,0.3161
5.0,7250,-0.5,2.0,0.1776,0.3102
3.5,7500,-0.5,2.0,0.1803,0.3033
4.0,7500,-0.5,2.0,0.1528,0.3256
4.5,7500,-0.5,2.0,0.1594,0.3191
5.0,7500,-0.5,2.0,0.1641,0.315
